,biomarker,logistic_pval,coefficient,point_biserial
1086,mtb_0753185,0.0016399431883837084,2.1990711616116836,0.18337513557412344
1147,mtb_0805847,0.00363549432338599,-3.066517822806208,-0.0698622208617714
1175,mtb_0818115,0.0010137481954574769,13.545724686997291,0.08943187197178919
1189,mtb_0825566,0.001565419390647259,2.2309721948996026,0.11077314001678214
1196,mtb_0828589,3.633892697261092e-05,3.927971852245491,0.1267852429287068
1203,mtb_0836012,1.025629599565902e-05,2.288641951331008,0.12031580199765823
1231,mtb_0849974,0.0009502643269070309,2.981960778989304,0.13221803785004133
1275,mtb_0866690,0.0007864390365316269,2.312939417810835,0.13274352605861658
1290,mtb_0879257,5.785958895785075e-08,2.567414228234485,0.15569951102792678
1294,mtb_0880988,2.3501557249744024e-09,2.0121144099274964,0.19383695058403289
1298,mtb_0885852,5.3851156236308636e-05,2.7270720740600725,0.06810983540065488
1327,mtb_0896658,0.00014780444396205703,-2.644861757465394,-0.1089479012459843
1347,mtb_0903240,9.301940957005852e-05,1.9459077527348745,0.1121907821811227
1358,mtb_0907740,0.002404828829325839,2.327993383934066,0.10878930125762998
1359,mtb_0909009,0.002385351499006587,-2.9221388609111716,-0.08809520159490314
1361,mtb_0910183,3.283996245409483e-06,3.218887044108788,0.14320397244860875
1383,mtb_0929701,0.00021256575573527412,3.3319433458595342,0.14043322144991854
1411,mtb_0947258,0.0031449052158980077,3.1504202408834145,0.07051220625710708
1412,mtb_0947394,0.0023358579607825588,3.640388001721742,0.06502254291683032
1414,mtb_0948501,0.0003398765414689328,1.7293965394830815,0.09951066751003876
1433,mtb_0962331,0.00019111637464558752,1.7863673619082585,0.11688911010426206
1457,mtb_0972054,0.00023194567681532232,-3.7487003866158495,-0.12340916875885932
1460,mtb_0973071,0.0027942926135771195,4.024987146654465,0.056227886477920486
1467,mtb_0976080,0.0038504955707044366,-10.652576845647056,-0.06846903217518341
1481,mtb_0985311,0.00045040956656911907,-3.122000136336195,-0.12672211463989735
1489,mtb_0990924,0.0024886311701707658,1.944818773861821,0.1021000514430234
1491,mtb_0991750,0.0006116027172391005,-6.061314933802406,-0.10032279158632974
1498,mtb_0993407,1.1175347462258393e-07,-43.8124130557289,-0.12220721713496308
1521,mtb_1005679,0.00013502176963940712,-2.901320576970273,-0.10167338521524656
1528,mtb_1010274,0.004157797641053388,-5.091246695568683,-0.07859694630162255
1540,mtb_1014171,0.004411894189733717,1.711687375150428,0.10377921432643175
1555,mtb_1026438,0.00030525389424799414,3.6023429841603245,0.13121699728414715
1595,mtb_1048942,0.004759661140906977,-2.5378481849150782,-0.07686537918595449
1599,mtb_1051868,3.8972055903129096e-05,-3.880012964524682,-0.10870353753661634
1606,mtb_1058397,0.0004651891422125377,-4.244199753268039,-0.09964157557711563
1609,mtb_1061672,0.003778683229231232,3.9256817403269393,0.09420401240133995
1620,mtb_1068460,0.0011291856708898274,3.8903548527579543,0.11583955533906173
1621,mtb_1068685,1.4888245567649554e-06,-6.442542955219761,-0.20970154066374763
1622,mtb_1068690,4.22432315577032e-05,-3.5810229298804734,-0.15230659302682353
1633,mtb_1080830,0.0003719811494777996,6.6744997462583475,0.11549033883997326
1635,mtb_1081772,0.0002578817432169066,2.9624710689468463,0.12793796033837937
1646,mtb_1090534,0.0002455905626928927,1.6264300646248975,0.10651838912217046
1664,mtb_1100477,3.359372721136751e-05,2.64311613802053,0.1795595791541619
1678,mtb_1115805,0.001707461505535058,-2.871457460858096,-0.11142515104373224
1681,mtb_1119990,0.00026656821482430056,-6.547171338609116,-0.1121089619064638
1695,mtb_1133512,0.003396653148114408,2.1714692234122355,0.08961850117178335
1717,mtb_1152585,1.5547362236457456e-06,3.0280369046678404,0.06554694420824038
1733,mtb_1162055,0.00038028001644818503,-2.2092779231153252,-0.07486388174316957
1735,mtb_1163757,0.0011906432056752892,-3.0994516110713852,-0.08385819331418667
1736,mtb_1164551,0.00019789584774332504,2.226613638648589,0.1798476411860586
1748,mtb_1170800,0.0011331697774343086,4.136835019685982,0.08450196046475633
1765,mtb_1180322,2.1484136445028894e-06,-3.661281489591845,-0.21838595694943314
1798,mtb_1199333,0.0003650204755178238,3.8946522968107233,0.13711325917460668
1823,mtb_1215192,6.178937100926529e-05,3.8185174861416704,0.11391012303648525
1834,mtb_1219496,0.004667051076341436,-3.901301400673197,-0.08106983844632681
1848,mtb_1225994,0.0008638355516971497,4.628871089870057,0.1286281195139282
1870,mtb_1237153,1.3722933040785572e-05,-3.117110431077273,-0.08577218258726968
1871,mtb_1237155,1.172780073543485e-05,-2.8031320519624527,-0.0874481373840454
1898,mtb_1253013,0.0007983118657830479,2.6222832474154534,0.13989439759572747
1902,mtb_1254618,0.003184357786313415,4.1247046824638085,0.13115863910916423
1905,mtb_1257054,0.0018606007898414854,2.4338582559190867,0.09892244289968773
1906,mtb_1257061,0.0010288495255696085,2.42816357153398,0.11518591153639036
1914,mtb_1261862,0.00010363751565397748,5.138317973143268,0.11110409488309476
1919,mtb_1263138,0.002325722238100727,5.19923235389426,0.10627536511690369
1921,mtb_1263412,0.0034572714999155938,1.4952381233253902,0.11090382469147837
1945,mtb_1274733,0.000588382971039351,4.172747346087966,0.11481362547317488
1993,mtb_1301711,0.0012120924022962292,1.9930247261295373,0.15147385920507656
2004,mtb_1311918,6.889152334551757e-08,-7.298914606397201,-0.2260532469776806
2020,mtb_1324610,0.0026082329824873842,-1.45246178895855,-0.12661973717943384
2024,mtb_1327961,0.004497360103561848,-3.3612649640873813,-0.08733554938027485
2028,mtb_1331056,0.000963341297244068,2.79629795929072,0.11249231166342719
2034,mtb_1335936,0.003509591046840791,-3.59068348507995,-0.10003735230848403
2051,mtb_1348799,0.0020446459473045814,3.0971809613464303,0.12165520347825422
2057,mtb_1349669,4.577194852093274e-05,-4.665587964942557,-0.0701501362222575
2059,mtb_1350263,0.002479746961427816,1.9307529103744419,0.13190589196174413
2061,mtb_1351373,0.002897904876205486,-5.271015703660863,-0.10575232640587034
2062,mtb_1351378,0.0022205371359179968,-5.276509655524398,-0.10555492454974565
2069,mtb_1354844,0.000467834628846439,2.1912745656569173,0.10180053559639597
2086,mtb_1363135,0.0032564878859149696,1.5864916823649189,0.13550573915675712
2087,mtb_1364114,0.0038658186993270395,-2.452652974948706,-0.09550646330583121
2093,mtb_1368172,0.0013619474543864467,-2.4559247759097835,-0.10872078695275546
2097,mtb_1370734,2.9448454603474802e-05,1.979142774126892,0.13029596853974867
2119,mtb_1384714,0.00034505471354068175,1.5003200116403816,0.10024426477912858
2124,mtb_1388777,0.003745220043494849,-4.815481273789736,-0.050601291818691455
2175,mtb_1410576,0.004782485011220781,2.112232447374835,0.0637630809949172
2185,mtb_1417766,0.001427689957583996,-4.480563347680537,-0.11670969776876249
2187,mtb_1419300,0.004185495021731569,1.1485452746626137,0.08114367047620466
2204,mtb_1427668,1.583262229249942e-05,3.92333131511313,0.1283186803243163
2214,mtb_1432816,0.002181741477433879,1.3582893908490044,0.07159341920509991
2271,mtb_1465252,2.044809295177181e-06,-4.160885091177767,-0.166048389218175
2272,mtb_1466672,0.0007051167186099555,-1.4546996900612972,-0.11383865624701778
2275,mtb_1470399,1.2448812808349869e-06,10.473971080878897,0.10581724106549299
2293,mtb_1478094,0.00037636654402367447,-1.4201983135491083,-0.09937105248734833
2314,mtb_1491759,0.0001664274021120481,1.7655835076758697,0.13522435064112978
2334,mtb_1507099,0.0009764931562167723,-1.1645481079458961,-0.11466642733296421
2346,mtb_1512171,0.00013358094403495053,7.2186955078519315,0.09545793707055625
2347,mtb_1512240,9.588044421525479e-05,2.3457832765300903,0.06301920289128146
2351,mtb_1514686,0.0014632924122168409,-3.8300767548759436,-0.0798535066668254
2353,mtb_1515800,0.003747079745120494,-1.8063413853829595,-0.0971793676741271
2393,mtb_1535649,1.4801394131697223e-06,-6.641169959528481,-0.0996120540838979
2405,mtb_1537967,0.0001445973883864769,12.413417870746708,0.08768040359118472
2406,mtb_1537975,0.0007141001309224231,4.801781106330754,0.06401995766200877
2413,mtb_1539175,0.0004507951764996097,5.879075267467794,0.07647282185090497
2428,mtb_1550794,0.0004873846234450343,2.0892820595250843,0.10189044521904463
2437,mtb_1553270,0.0013080683568683139,2.1879229683276717,0.1698951855358642
2441,mtb_1555425,2.7151909880513928e-05,2.5947145790456783,0.1563459082793729
2465,mtb_1567139,0.0021713233704156666,1.6488984732302856,0.07211594021522082
2466,mtb_1567645,0.0010182854729703795,-1.671040887370498,-0.1364466722221034
2467,mtb_1567650,0.0032525024721546964,-1.5549557040355608,-0.1288396574425749
2473,mtb_1574298,9.672539439347367e-05,6.444894544108931,0.15891063588185622
2475,mtb_1575544,1.0824152235946472e-12,-10.448831981133903,-0.16635854576045425
2476,mtb_1576183,0.0016892526229286779,3.0074704827703367,0.07180582687278406
2489,mtb_1585145,0.0003318706461527863,2.0953871871660263,0.12041312001694371
2493,mtb_1585978,0.0012420222057234586,2.080345507806401,0.1016291950059498
2505,mtb_1596355,3.1043050349703235e-08,13.700975494152438,0.11443626431654999
2512,mtb_1600713,7.537871642271265e-05,-1.996959548130488,-0.10365769141274057
2513,mtb_1600726,0.0008156293352340065,-1.9463595692867568,-0.09661713479891568
2522,mtb_1609893,6.489454826930343e-05,1.5918523837371632,0.10769288163232939
2531,mtb_1616881,0.001756331357220463,3.172773563573138,0.054019658688528
2547,mtb_1623773,0.00028348385058144784,1.3561413585653255,0.15254621321439985
2549,mtb_1623902,1.0708066788922686e-07,6.037524680193644,0.18621621685430512
2563,mtb_1636836,0.0026996294265968375,-1.437049603912337,-0.09435255667313623
2565,mtb_1637090,0.002687885372155187,-1.4292192245396302,-0.11907209746931731
2567,mtb_1638365,2.1978877216579565e-06,7.218219811903327,0.10338479139008652
2603,mtb_1655676,1.2504969322342918e-05,-1.8890270346031641,-0.15110123613231125
2611,mtb_1666060,0.002956748373455023,2.595899772413425,0.09371871781532717
2614,mtb_1668850,1.5422194850213855e-09,7.943598599898544,0.14600196478054217
2617,mtb_1670869,1.3367129474160523e-06,7.17795191612085,0.1065918602197747
2621,mtb_1673863,0.002998371218952791,1.6544616843476372,0.12919793052155232
2632,mtb_1679249,1.6064211143496178e-08,8.053333675006323,0.12537741726211396
2642,mtb_1683113,0.00265796402586758,3.3892547654115512,0.1366249327231328
2665,mtb_1709393,0.0007591230365043412,-1.5301004524297837,-0.11606027989115816
2670,mtb_1713239,0.0016660921333726273,2.1720688490103246,0.1215605936625087
2672,mtb_1715652,7.622570557280551e-11,11.984771567590942,0.13818772445560162
2673,mtb_1716380,0.0006232223907157044,4.548799584307524,0.15816667130493234
2679,mtb_1721506,0.000304472259519894,2.404627617876386,0.063655055583311
2742,mtb_1774360,0.0026672586471826946,1.8076697258317964,0.11684454949804653
2743,mtb_1774932,0.003203727625506072,2.2654107637830876,0.10230236785607405
2753,mtb_1781120,0.0002543361227036863,9.626887568753304,0.12063208942365855
2774,mtb_1790642,0.0009357564186574269,2.678412693349316,0.14810465999639488
2779,mtb_1792118,0.00022340385690844617,-3.254456742959726,-0.14516236379098874
2798,mtb_1800004,2.380675105921024e-11,9.751703808908431,0.1400241828622378
2817,mtb_1807046,0.0009228540134407926,2.400977245233205,0.06062332536896905
2819,mtb_1808716,5.319650906530411e-06,4.507627485351606,0.14816978260875868
2855,mtb_1818034,0.00346179397195867,1.4046889024032794,0.12682755396984763
2858,mtb_1818436,1.1444051770286537e-08,6.047523963661236,0.14139386884619692
2859,mtb_1818547,0.00446250620235923,1.1147862203467207,0.12151037046045406
2869,mtb_1819685,0.000781158273061858,3.214007532999623,0.12237478646804208
2886,mtb_1824264,1.4862921953615764e-07,5.813417570781485,0.12291846834052497
2907,mtb_1826786,0.003271842250505818,2.853947411465353,0.06992829769177004
2932,mtb_1832482,1.7227403711915738e-05,5.510889172549844,0.14536407584094782
2987,mtb_1841968,0.0002979137702751534,2.2757374217788184,0.08597017087733205
2997,mtb_1843212,0.001775819568126782,1.439713820172679,0.061400146470335995
2998,mtb_1843956,0.004587586613793939,3.6407818715292697,0.0959914899593671
3018,mtb_1845688,0.002239835208497023,2.597376333260092,0.08873043875184176
3037,mtb_1848580,0.004399681301284436,2.1001962241433896,0.10109931119072404
3039,mtb_1849146,0.0034075789590280094,1.1548876311674623,0.11584373802183327
3042,mtb_1849901,0.0045910348237597305,1.5906836112135103,0.08101866630757026
3050,mtb_1853248,4.507718141565523e-06,2.390859330651272,0.12141329784543867
3060,mtb_1855335,0.0034773479123677512,2.0292972570912005,0.08742964118309833
3090,mtb_1858191,0.003639655764147675,1.682898111476159,0.05770139400620876
3096,mtb_1858624,2.4307292624870657e-05,3.3670501244700297,0.12084374594946046
3115,mtb_1863143,0.0007210314826022034,1.9350482092786243,0.06856765841553866
